Order_Number,State_Code,Customer_Name,Order_Date,Status,Product,Category,Brand,Cost,Sales,Quantity,Total_Cost,Total_Sales,Assigned_Supervisor
139389.0,MN,Atif Siddiqui,2020-01-20,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,Aarvi Gupta
139390.0,ML,Aditya Agarwal,2020-01-21,Processing,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,2.0,16500.0,21450.0,Vijay Singh
139391.0,MZ,Firdoush Jabee,2020-01-22,Processing,8 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,4.0,10600.0,13780.0,Aadil Khan
139392.0,NL,Jay Prakash Kumar,2020-01-22,Processing,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,2.0,25100.0,32630.0,Advika Joshi
139393.0,OR,Ashish Pandey,2020-01-22,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,2.0,29000.0,37700.0,Ajay Sharma
139394.0,PB,Ajay Sharma,2020-01-22,Processing,USB Keyboard,Keyboard,Dell,800.0,1040.0,1.0,800.0,1040.0,Roshan Kumar
139395.0,RJ,Moinuddin Saifi,2020-01-22,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,Aarvi Gupta
139396.0,SK,Ramkrishna Das Adhikary,2020-01-22,Processing,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,4.0,42000.0,54600.0,Vijay Singh
139397.0,TN,Ranjeet Mandal,2020-01-23,Processing,2 TB HDD,HDD,Western Digital,6500.0,8450.0,1.0,6500.0,8450.0,Aadil Khan
139398.0,TR,Ashwini Adsare,2020-01-24,Processing,257 GB SSD,SSD,Samsung,4500.0,5850.0,4.0,18000.0,23400.0,Ajay Sharma
139399.0,UK,Rajesh Variya,2020-01-25,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,Roshan Kumar
139400.0,UP,Amit Singh,2020-01-26,Processing,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,2.0,25000.0,32500.0,Aarvi Gupta
139401.0,WB,Vinod Mehta,2020-01-26,Shipped,9 GB DDR4 RAM,Computer Case,Hynix,3500.0,4550.0,3.0,10500.0,13650.0,Vijay Singh
139402.0,TN,Jignesh Mhatre,2020-01-26,Order,BTX motherboard,Mouse,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,Aadil Khan
139403.0,TR,Rahul Kashyap,2020-01-26,Order,4 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,Advika Joshi
139404.0,AN,Mohammed Abdul Kaleem,2020-01-27,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,3.0,3450.0,4485.0,Ajay Sharma
139405.0,CH,Chandrakant Kasbe,2020-01-28,Order,USB Mouse,Mouse,Samsung,350.0,455.0,1.0,350.0,455.0,Roshan Kumar
139406.0,CH,Rohan Kale,2020-01-29,Order,"19"" LED Display",Monitor,Dell,9500.0,12350.0,3.0,28500.0,37050.0,Aarvi Gupta
139407.0,CH,Aniruddha Kekapure,2020-01-30,Processing,3 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,Vijay Singh
139408.0,CH,Aslam Raza,2020-01-31,Delivered,513 GB M.2,SSD,Samsung,6500.0,8450.0,3.0,19500.0,25350.0,Aadil Khan
139409.0,CH,Roshan Zameer,2020-02-01,Shipped,RYZEN 3rd gen. 3501,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Advika Joshi
139410.0,CH,Rakesh Kumar Sharma,2020-02-01,Shipped,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,Ajay Sharma
139411.0,CH,Shivanand Sahani,2020-02-01,Shipped,17 GB DDR4 RAM,Computer Case,Hynix,6550.0,8515.0,3.0,19650.0,25545.0,Roshan Kumar
139412.0,AR,Kunal Patra,2020-02-01,Shipped,Standard ATX motherboard,Mouse,Gigabyte,7650.0,9945.0,3.0,22950.0,29835.0,Aarvi Gupta
139413.0,AS,Bijendra,2020-02-02,Shipped,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,1.0,1150.0,1495.0,Vijay Singh
139414.0,BR,Kranti Bheke,2020-02-03,Shipped,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,1.0,850.0,1105.0,Aadil Khan
139415.0,CG,Jagdeep,2020-02-03,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,2.0,1300.0,1690.0,Ajay Sharma
139416.0,GA,Adhir Samal,2020-02-03,Shipped,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,Roshan Kumar
139417.0,GJ,Dannana Jhammi,2020-02-04,Shipped,3 TB HDD,HDD,Seagate,10000.0,13000.0,3.0,30000.0,39000.0,Aarvi Gupta
139418.0,GJ,Vipin Kumar,2020-02-05,Shipped,2 TB SSD,SSD,Samsung,10500.0,13650.0,2.0,21000.0,27300.0,Vijay Singh
139419.0,GJ,Ranjeet Kumar,2020-02-06,Processing,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Aadil Khan
139420.0,GJ,Sajal Singhal,2020-02-07,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,Advika Joshi
139421.0,GJ,Akhilesh Kumar,2020-02-08,Shipped,5 GB DDR4 Ram,Computer Case,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,Ajay Sharma
139422.0,GJ,Suvankar Chakraborty,2020-02-09,Order,Micro ATX motherboard,Mouse,MSI,6540.0,8502.0,1.0,6540.0,8502.0,Roshan Kumar
139423.0,KL,Suvankar Adhikary,2020-02-10,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,Aarvi Gupta
139424.0,MP,Rahul Kumar Prajapati,2020-02-11,Delivered,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,1.0,8250.0,10725.0,Vijay Singh
139425.0,MH,Sagar Jeur,2020-02-12,Shipped,9 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,Aadil Khan
139426.0,MN,Rhushikesh Mane,2020-02-13,Order,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,3.0,37650.0,48945.0,Advika Joshi
139427.0,ML,Ashish Kumar,2020-02-14,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,3.0,43500.0,56550.0,Ajay Sharma
139428.0,MZ,Javed Akhter,2020-02-15,Delivered,USB Keyboard,Keyboard,Dell,800.0,1040.0,3.0,2400.0,3120.0,Roshan Kumar
139429.0,NL,Haridas Balraj,2020-02-16,Shipped,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,Aarvi Gupta
139430.0,OR,Kundan Kumar,2020-02-17,Order,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,3.0,31500.0,40950.0,Vijay Singh
139431.0,PB,Atif Siddiqui,2020-02-18,Processing,3 TB HDD,HDD,Western Digital,6500.0,8450.0,2.0,13000.0,16900.0,Aadil Khan
139432.0,RJ,Aditya Agarwal,2020-02-19,Delivered,258 GB SSD,SSD,Samsung,4500.0,5850.0,2.0,9000.0,11700.0,Advika Joshi
139433.0,SK,Firdoush Jabee,2020-02-19,Shipped,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,Ajay Sharma
139434.0,TN,Jay Prakash Kumar,2020-02-19,Order,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,4.0,50000.0,65000.0,Roshan Kumar
139435.0,TN,Ashish Pandey,2020-02-19,Processing,10 GB DDR4 RAM,NIC,Hynix,3500.0,4550.0,2.0,7000.0,9100.0,Aarvi Gupta
139436.0,TN,Ajay Sharma,2020-02-20,Delivered,BTX motherboard,Printer,Gigabyte,4500.0,5850.0,2.0,9000.0,11700.0,Vijay Singh
139437.0,TN,Moinuddin Saifi,2020-02-21,Shipped,5 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,Aadil Khan
139438.0,WB,Ramkrishna Das Adhikary,2020-02-22,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,1.0,1150.0,1495.0,Advika Joshi
139439.0,TN,Ranjeet Mandal,2020-02-23,Processing,USB Mouse,Mouse,Samsung,350.0,455.0,1.0,350.0,455.0,Ajay Sharma
139440.0,TR,Ashwini Adsare,2020-02-24,Delivered,"19"" LED Display",Monitor,Dell,9500.0,12350.0,1.0,9500.0,12350.0,Roshan Kumar
139441.0,AN,Rajesh Variya,2020-02-25,Shipped,4 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,Aarvi Gupta
139442.0,CH,Amit Singh,2020-02-26,Order,514 GB M.2,SSD,Samsung,6500.0,8450.0,3.0,19500.0,25350.0,Vijay Singh
139443.0,DH,Vinod Mehta,2020-02-27,Processing,RYZEN 3rd gen. 3502,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,Aadil Khan
139444.0,DD,Jignesh Mhatre,2020-02-28,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,1.0,7000.0,9100.0,Advika Joshi
139445.0,DL,Rahul Kashyap,2020-02-29,Shipped,18 GB DDR4 RAM,NIC,Hynix,6550.0,8515.0,2.0,13100.0,17030.0,Ajay Sharma
139446.0,LD,Mohammed Abdul Kaleem,2020-03-01,Order,Standard ATX motherboard,Printer,Gigabyte,7650.0,9945.0,3.0,22950.0,29835.0,Roshan Kumar
139447.0,PY,Chandrakant Kasbe,2020-03-02,Processing,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,Aarvi Gupta
139448.0,AP,Rohan Kale,2020-03-03,Delivered,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,1.0,850.0,1105.0,Vijay Singh
139449.0,AR,Aniruddha Kekapure,2020-03-04,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,3.0,1950.0,2535.0,Aadil Khan
139450.0,AS,Aslam Raza,2020-03-05,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,4.0,30000.0,39000.0,Advika Joshi
139451.0,BR,Roshan Zameer,2020-03-06,Processing,4 TB HDD,HDD,Seagate,10000.0,13000.0,2.0,20000.0,26000.0,Roshan Kumar
139452.0,CG,Rakesh Kumar Sharma,2020-03-07,Delivered,3 TB SSD,SSD,Samsung,10500.0,13650.0,3.0,31500.0,40950.0,Aarvi Gupta
139453.0,GA,Shivanand Sahani,2020-03-07,Shipped,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,Vijay Singh
139454.0,GJ,Kunal Patra,2020-03-07,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,Aadil Khan
139455.0,HR,Bijendra,2020-03-07,Processing,6 GB DDR4 Ram,NIC,Hynix,1680.0,2184.0,4.0,6720.0,8736.0,Advika Joshi
139456.0,HR,Kranti Bheke,2020-03-07,Delivered,Micro ATX motherboard,Printer,MSI,6540.0,8502.0,1.0,6540.0,8502.0,Ajay Sharma
139457.0,HR,Jagdeep,2020-03-07,Shipped,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,3.0,8040.0,10452.0,Roshan Kumar
139458.0,HR,Adhir Samal,2020-03-07,Order,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,2.0,16500.0,21450.0,Aarvi Gupta
139459.0,HR,Dannana Jhammi,2020-03-08,Processing,10 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,Vijay Singh
139460.0,HR,Vipin Kumar,2020-03-09,Delivered,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,1.0,12550.0,16315.0,Aadil Khan
139461.0,MP,Ranjeet Kumar,2020-03-10,Shipped,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,Advika Joshi
139462.0,MH,Sajal Singhal,2020-03-11,Order,USB Keyboard,Keyboard,Dell,800.0,1040.0,2.0,1600.0,2080.0,Ajay Sharma
139463.0,MN,Akhilesh Kumar,2020-03-12,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,1.0,600.0,780.0,Roshan Kumar
139464.0,ML,Suvankar Chakraborty,2020-03-13,Delivered,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,Aarvi Gupta
139465.0,MZ,Suvankar Adhikary,2020-03-14,Shipped,4 TB HDD,HDD,Western Digital,6500.0,8450.0,3.0,19500.0,25350.0,Vijay Singh
139466.0,NL,Rahul Kumar Prajapati,2020-03-15,Order,259 GB SSD,SSD,Samsung,4500.0,5850.0,2.0,9000.0,11700.0,Aadil Khan
139467.0,OR,Sagar Jeur,2020-03-16,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,Advika Joshi
139468.0,PB,Rhushikesh Mane,2020-03-16,Delivered,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,3.0,37500.0,48750.0,Ajay Sharma
139469.0,RJ,Ashish Kumar,2020-03-16,Shipped,11 GB DDR4 RAM,RAM,Hynix,3500.0,4550.0,1.0,3500.0,4550.0,Roshan Kumar
139470.0,SK,Javed Akhter,2020-03-16,Order,BTX motherboard,Motherboard,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,Aarvi Gupta
139471.0,TN,Haridas Balraj,2020-03-16,Processing,6 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,Vijay Singh
139472.0,TR,Kundan Kumar,2020-03-16,Delivered,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,4.0,4600.0,5980.0,Aadil Khan
139473.0,UK,Atif Siddiqui,2020-03-16,Shipped,USB Mouse,Mouse,Samsung,350.0,455.0,3.0,1050.0,1365.0,Advika Joshi
139474.0,UP,Aditya Agarwal,2020-03-16,Order,"19"" LED Display",Monitor,Dell,9500.0,12350.0,3.0,28500.0,37050.0,Ajay Sharma
139475.0,UP,Firdoush Jabee,2020-03-16,Processing,5 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,Roshan Kumar
139476.0,UP,Jay Prakash Kumar,2020-03-16,Delivered,515 GB M.2,SSD,Samsung,6500.0,8450.0,2.0,13000.0,16900.0,Aarvi Gupta
139477.0,UP,Ashish Pandey,2020-03-17,Shipped,RYZEN 3rd gen. 3503,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,Vijay Singh
139478.0,UP,Ajay Sharma,2020-03-18,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,Aadil Khan
139479.0,UP,Moinuddin Saifi,2020-03-18,Processing,19 GB DDR4 RAM,RAM,Hynix,6550.0,8515.0,2.0,13100.0,17030.0,Advika Joshi
139480.0,UP,Ramkrishna Das Adhikary,2020-03-18,Delivered,Standard ATX motherboard,Motherboard,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,Ajay Sharma
139481.0,UP,Ranjeet Mandal,2020-03-18,Shipped,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,Roshan Kumar
139482.0,UP,Vinod Singh,2020-03-18,Order,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,4.0,3400.0,4420.0,Aarvi Gupta
139483.0,UP,Ajay Mehta,2020-03-18,Processing,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,4.0,2600.0,3380.0,Vijay Singh
139484.0,UP,Vikas Bhalekar,2020-03-18,Delivered,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,Aadil Khan
139485.0,UP,Vinod Mehta,2020-03-18,Shipped,5 TB HDD,HDD,Seagate,10000.0,13000.0,2.0,20000.0,26000.0,Advika Joshi
139486.0,UP,Jignesh Mhatre,2020-03-19,Order,4 TB SSD,SSD,Samsung,10500.0,13650.0,3.0,31500.0,40950.0,Ajay Sharma
139487.0,UP,Sharmili Pandit,2020-03-19,Processing,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Roshan Kumar
139488.0,BR,Vijaya singh,2020-03-19,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,1.0,7000.0,9100.0,Aarvi Gupta
139489.0,CG,Dilip Rathod,2020-03-19,Shipped,7 GB DDR4 Ram,RAM,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,Vijay Singh
139490.0,GA,Rohan Kale,2020-03-19,Order,Micro ATX motherboard,Motherboard,MSI,6540.0,8502.0,2.0,13080.0,17004.0,Aadil Khan
139491.0,GJ,Aniruddha Kekapure,2020-03-19,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,Advika Joshi
139492.0,GJ,Jagjeet Variya,2020-03-19,Delivered,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,1.0,8250.0,10725.0,Ajay Sharma
139493.0,GJ,Roshan Zameer,2020-03-20,Shipped,11 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,Roshan Kumar
139494.0,GJ,Binod Kumar,2020-03-21,Order,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,4.0,50200.0,65260.0,Aarvi Gupta
139495.0,GJ,Shivanand Sahani,2020-03-22,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,Aadil Khan
139496.0,GJ,Vijay Mehta,2020-03-23,Delivered,USB Keyboard,Keyboard,Dell,800.0,1040.0,2.0,1600.0,2080.0,Advika Joshi
139497.0,GJ,Bijendra,2020-03-24,Shipped,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,Ajay Sharma
139498.0,MP,Kranti Bheke,2020-03-24,Order,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,Roshan Kumar
139499.0,MH,Shanti Giri,2020-03-24,Processing,5 TB HDD,HDD,Western Digital,6500.0,8450.0,1.0,6500.0,8450.0,Aarvi Gupta
139500.0,MH,Adhir Samal,2020-03-24,Delivered,260 GB SSD,SSD,Samsung,4500.0,5850.0,1.0,4500.0,5850.0,Vijay Singh
139501.0,MH,Dannana Jhammi,2020-03-24,Shipped,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Aadil Khan
139502.0,MH,Vipin Kumar,2020-03-24,Order,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,4.0,50000.0,65000.0,Advika Joshi
139503.0,MH,Prakash Chamka,2020-03-24,Processing,12 GB DDR4 RAM,Computer Case,Hynix,3500.0,4550.0,3.0,10500.0,13650.0,Ajay Sharma
139504.0,MH,Sajal Singhal,2020-03-24,Delivered,BTX motherboard,Mouse,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,Roshan Kumar
139505.0,MH,Akhilesh Kumar,2020-03-24,Shipped,7 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,Aarvi Gupta
139506.0,MH,Suvankar Chakraborty,2020-03-25,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,2.0,2300.0,2990.0,Vijay Singh
139507.0,MH,Suvankar Adhikary,2020-03-25,Processing,USB Mouse,Mouse,Samsung,350.0,455.0,3.0,1050.0,1365.0,Aadil Khan
139508.0,MH,Rahul Kumar Prajapati,2020-03-25,Delivered,"19"" LED Display",Monitor,Dell,9500.0,12350.0,4.0,38000.0,49400.0,Advika Joshi
139509.0,MH,Sagar Jeur,2020-03-25,Shipped,6 TB HDD,HDD,Western Digital,10000.0,13000.0,4.0,40000.0,52000.0,Ajay Sharma
139510.0,MH,Rhushikesh Mane,2020-03-25,Order,516 GB M.2,SSD,Samsung,6500.0,8450.0,1.0,6500.0,8450.0,Roshan Kumar
139511.0,MH,Vishal Singh,2020-03-25,Processing,RYZEN 3rd gen. 3504,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,Aarvi Gupta
139512.0,MH,Javed Akhter,2020-03-25,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,Vijay Singh
139513.0,TN,Haridas Balraj,2020-03-25,Shipped,20 GB DDR4 RAM,Computer Case,Hynix,6550.0,8515.0,3.0,19650.0,25545.0,Aadil Khan
139514.0,TR,Kundan Kumar,2020-03-25,Order,Standard ATX motherboard,Mouse,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,Advika Joshi
139515.0,AN,Vinod Bhave,2020-03-26,Processing,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,Ajay Sharma
139516.0,CH,Aditya Agarwal,2020-03-26,Delivered,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,2.0,1700.0,2210.0,Aadil Khan
139517.0,DH,Firdoush Jabee,2020-03-26,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,1.0,650.0,845.0,Advika Joshi
139518.0,DD,Jay Prakash Kumar,2020-03-26,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,2.0,15000.0,19500.0,Ajay Sharma
139519.0,DL,Rajiv Singh,2020-03-26,Processing,6 TB HDD,HDD,Seagate,10000.0,13000.0,1.0,10000.0,13000.0,Roshan Kumar
139520.0,LD,Ajay Sharma,2020-03-26,Delivered,5 TB SSD,SSD,Samsung,10500.0,13650.0,2.0,21000.0,27300.0,Aarvi Gupta
139521.0,PY,Moinuddin Saifi,2020-03-26,Shipped,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,Vijay Singh
139522.0,OR,Ramkrishna Das Adhikary,2020-03-26,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,Aadil Khan
139523.0,PB,Ranjeet Mandal,2020-03-26,Processing,8 GB DDR4 Ram,Computer Case,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,Advika Joshi
139524.0,RJ,Ashwini Adsare,2020-03-26,Delivered,Micro ATX motherboard,Mouse,MSI,6540.0,8502.0,3.0,19620.0,25506.0,Ajay Sharma
139525.0,SK,Rajesh Variya,2020-03-26,Shipped,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,Roshan Kumar
139526.0,TN,Amit Singh,2020-03-26,Order,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,4.0,33000.0,42900.0,Aarvi Gupta
139527.0,TR,Vinod Mehta,2020-03-26,Processing,12 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,4.0,10600.0,13780.0,Vijay Singh
139528.0,UK,Jignesh Mhatre,2020-03-26,Delivered,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,4.0,50200.0,65260.0,Aadil Khan
139529.0,UP,Rahul Kashyap,2020-03-26,Shipped,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,Advika Joshi
139530.0,WB,Mohammed Abdul Kaleem,2020-03-27,Order,USB Keyboard,Keyboard,Dell,800.0,1040.0,4.0,3200.0,4160.0,Ajay Sharma
139531.0,TN,Chandrakant Kasbe,2020-03-27,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,2.0,1200.0,1560.0,Roshan Kumar
139532.0,TR,Rohan Kale,2020-03-27,Delivered,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,Aarvi Gupta
139533.0,AN,Aniruddha Kekapure,2020-03-27,Shipped,6 TB HDD,HDD,Western Digital,6500.0,8450.0,3.0,19500.0,25350.0,Vijay Singh
139534.0,CH,Aslam Raza,2020-03-27,Order,261 GB SSD,SSD,Samsung,4500.0,5850.0,1.0,4500.0,5850.0,Aadil Khan
139535.0,DH,Roshan Zameer,2020-03-27,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Advika Joshi
139536.0,DH,Rakesh Kumar Sharma,2020-03-27,Delivered,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,1.0,12500.0,16250.0,Ajay Sharma
139537.0,DH,Shivanand Sahani,2020-03-27,Shipped,13 GB DDR4 RAM,NIC,Hynix,3500.0,4550.0,2.0,7000.0,9100.0,Roshan Kumar
139538.0,DH,Kunal Patra,2020-03-27,Order,BTX motherboard,Printer,Gigabyte,4500.0,5850.0,3.0,13500.0,17550.0,Aarvi Gupta
139539.0,DH,Bijendra,2020-03-27,Processing,8 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,4.0,8400.0,10920.0,Vijay Singh
139540.0,DH,Kranti Bheke,2020-03-27,Delivered,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,3.0,3450.0,4485.0,Aadil Khan
139541.0,PB,Jagdeep,2020-03-27,Shipped,USB Mouse,Mouse,Samsung,350.0,455.0,4.0,1400.0,1820.0,Advika Joshi
